City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,71.96,77,0,3.44,US,1691642319
1,port-aux-francais,-49.35,70.2167,39.18,88,95,23.55,TF,1691642124
2,xilin hot,43.9667,116.0333,85.51,33,74,7.56,CN,1691642319
3,cidreira,-30.1811,-50.2056,61.07,96,100,13.0,BR,1691642320
4,edinburgh of the seven seas,-37.0676,-12.3116,50.59,59,67,22.57,SH,1691642229
5,salekhard,66.53,66.6019,63.93,50,13,13.53,RU,1691642196
6,terenos,-20.4422,-54.8603,71.31,73,0,5.75,BR,1691642320
7,kalispell,48.1958,-114.3129,62.17,81,0,4.61,US,1691642321
8,sawakin,19.1059,37.3321,97.52,43,16,11.45,SD,1691642321
9,mata-utu,-13.2816,-176.1745,82.67,75,27,10.78,WF,1691642321
10,jamestown,42.097,-79.2353,69.71,84,75,1.01,US,1691642072
11,nyurba,63.2842,118.3319,81.27,39,65,9.17,RU,1691642322
12,adamstown,-25.066,-130.1015,67.1,53,88,20.71,PN,1691642236
13,malanville,11.8685,3.3899,73.78,94,100,8.5,BJ,1691642322
14,san luis de la loma,17.2706,-100.8939,81.61,83,100,1.12,MX,1691642322
15,yellowknife,62.456,-114.3525,64.92,59,75,6.91,CA,1691642232
16,east london,-33.0153,27.9116,59.94,82,0,11.5,ZA,1691642323
17,igarka,67.4667,86.5833,65.19,75,99,8.57,RU,1691642323
18,ust-nera,64.5667,143.2,72.0,38,5,2.89,RU,1691642308
19,nova sintra,14.8667,-24.7167,72.9,73,64,13.44,CV,1691642235
20,portland,45.5234,-122.6762,72.48,75,40,8.05,US,1691642040
21,hamilton,39.1834,-84.5333,72.84,91,100,13.8,US,1691642324
22,kodiak,57.79,-152.4072,53.11,94,75,4.61,US,1691642324
23,toliara,-23.35,43.6667,69.21,76,28,14.97,MG,1691642324
24,albany,42.6001,-73.9662,65.8,86,51,1.01,US,1691642260
25,mermoz boabab,14.7065,-17.4758,80.38,78,75,4.61,SN,1691642325
26,ushuaia,-54.8,-68.3,38.86,75,0,2.3,AR,1691642257
27,los yebenes,39.5816,-3.8706,73.9,43,3,4.72,ES,1691642325
28,urengoy,65.9667,78.3667,54.03,79,100,22.95,RU,1691642326
29,badger,64.8,-147.5333,69.71,75,75,10.36,US,1691642107
30,uturoa,-16.7333,-151.4333,76.89,70,58,18.12,PF,1691642326
31,waitangi,-43.9535,-176.5597,48.81,81,4,4.9,NZ,1691642327
32,oarai,36.3167,140.6,93.49,81,50,9.82,JP,1691642327
33,kunming,25.0389,102.7183,73.33,73,75,4.47,CN,1691642327
34,mount isa,-20.7333,139.5,80.37,24,11,5.75,AU,1691642327
35,mbandaka,0.0487,18.2603,68.43,99,99,3.11,CD,1691642328
36,grytviken,-54.2811,-36.5092,23.4,88,94,4.76,GS,1691642229
37,thompson,55.7435,-97.8558,50.16,87,20,0.0,CA,1691642231
38,port mathurin,-19.6833,63.4167,72.27,75,7,9.42,MU,1691642328
39,enewetak,11.3474,162.3373,83.8,76,70,14.5,MH,1691642266
40,polyarnyy,69.1989,33.4478,67.3,70,2,7.05,RU,1691642329
41,la grange,33.0393,-85.0313,77.67,90,100,4.68,US,1691642329
42,vila franca do campo,37.7167,-25.4333,75.61,93,100,11.74,PT,1691642329
43,antonio enes,-16.2325,39.9086,72.82,73,11,10.0,MZ,1691642330
